"Species_name","Note","X","X.1","X.2","X.3","X.4","X.5","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"Cistus creticus L. Sp. Pl."," ed. 2: 738 (1762)","","","","","","","Cistus creticus L. . Pl.","Cistus creticus L. . Pl.","Cistus creticus","Cistus creticus","L.","Cistaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:168230-1","Accepted",0.9,"accepted_or_direct"
"Cistus laurifolius L."," Sp. Pl.: 523 (1753)","","","","","","","Cistus laurifolius L.","Cistus laurifolius L.","Cistus laurifolius","Cistus laurifolius","L.","Cistaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:168336-1","Accepted",1,"accepted_or_direct"
"Cistus populifolius L."," Sp. Pl.: 523 (1753)","","","","","","","Cistus populifolius L.","Cistus populifolius L.","Cistus populifolius","Cistus populifolius","L.","Cistaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:168435-1","Accepted",1,"accepted_or_direct"
"Cistus psilosepalus Sweet"," Cistineae: t. 33 (1826)","","","","","","","Cistus psilosepalus Sweet","Cistus psilosepalus Sweet","Cistus psilosepalus","Cistus x laxus","Aiton","Cistaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:168441-1","Synonym",1,"synonym_to_accepted"
"Cistus salviifolius L."," Sp. Pl.: 524 (1753)","","","","","","","Cistus salviifolius L.","Cistus salviifolius L.","Cistus salviifolius","Cistus salviifolius","L.","Cistaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:168475-1","Accepted",1,"accepted_or_direct"
"Citrullus lanatus (Thunb.) Matsum. & Nakai"," Cat. Sem. Spor. Hort. Univ. Tokyo: 30 (1916)","","","","","","","Citrullus lanatus (Thunb.) Matsum. & Nakai","Citrullus lanatus (Thunb.) Matsum. & Nakai","Citrullus lanatus","Citrullus lanatus","(Thunb.) Matsum. & Nakai","Cucurbitaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:291938-1","Accepted",1,"accepted_or_direct"
"Citrus aurantium L."," Sp. Pl.: 782 (1753)","","","","","","","Citrus aurantium L.","Citrus aurantium L.","Citrus aurantium","Citrus x aurantium","L.","Rutaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:59600-2","Accepted",1,"accepted_or_direct"
"Citrus limon (L.) Burm.f."," Fl. Ind.: 173 (1768)","","","","","","","Citrus limon (L.) Burm.f.","Citrus limon (L.) Burm.f.","Citrus limon","Citrus x limon","(L.) Osbeck","Rutaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60454758-2","Accepted",0.90916,"accepted_or_direct"
"Citrus sinensis (L.) Osbeck"," Dagb. Ostind. Resa: 41 (1757)","","","","","","","Citrus sinensis (L.) Osbeck","Citrus sinensis (L.) Osbeck","Citrus sinensis","Citrus x aurantium fo. aurantium","","Rutaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:772052-1","Synonym",1,"synonym_to_accepted"
"Cladanthus mixtus (L.) Chevall."," Fl. G,"","","","","","","Cladanthus mixtus (L.) Chevall.","Cladanthus mixtus (L.) Chevall.","Cladanthus mixtus","Cladanthus mixtus","(L.) Chevall.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:196240-1","Accepted",1,"accepted_or_direct"
"Cladium mariscus (L.) Pohl"," Tent. Fl. Bohem. 1: 32 (1809)","","","","","","","Cladium mariscus (L.) Pohl","Cladium mariscus (L.) Pohl","Cladium mariscus","Cladium mariscus","(L.) Pohl","Cyperaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:303489-1","Accepted",1,"accepted_or_direct"
"Cladrastis sinensis Hemsl."," J. Linn. Soc."," Bot. 29(202): 304 (1892)","","","","","","Cladrastis sinensis Hemsl.","Cladrastis sinensis Hemsl.","Cladrastis sinensis","Cladrastis delavayi","(Franch.) Prain","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:486426-1","Synonym",1,"synonym_to_accepted"
"Clematis vitalba L."," Sp. Pl.: 544 (1753)","","","","","","","Clematis vitalba L.","Clematis vitalba L.","Clematis vitalba","Clematis vitalba","L.","Ranunculaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319145-2","Accepted",1,"accepted_or_direct"
"Clerodendrum bungei Steud."," Nomencl. Bot."," ed. 2"," 1: 382 (1840)","","","","","Clerodendrum bungei Steud.","Clerodendrum bungei Steud.","Clerodendrum bungei","Clerodendrum bungei","Steud.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:861960-1","Accepted",1,"accepted_or_direct"
"Clinopodium alpinum (L.) Kuntze subsp. pyrenaeum (Braun-Blanq.) Govaerts"," World Checklist Seed Pl. 3(1): 16 (1999)","","","","","","","Clinopodium alpinum (L.) Kuntze subsp. pyrenaeum (Braun-Blanq.) Govaerts","Clinopodium alpinum (L.) Kuntze subsp. pyrenaeum (Braun-Blanq.) Govaerts","Clinopodium alpinum subsp. pyrenaeum","Clinopodium alpinum subsp. alpinum","","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1009780-1","Synonym",1,"synonym_to_accepted"
"Clinopodium menthifolium (Host) Stace subsp. ascendens (Jord.) Govaerts"," World Checklist Seed Pl. 3(1): 17 (1999)","","","","","","","Clinopodium menthifolium (Host) Stace subsp. ascendens (Jord.) Govaerts","Clinopodium menthifolium (Host) Stace subsp. ascendens (Jord.) Govaerts","Clinopodium menthifolium subsp. ascendens","Clinopodium menthifolium subsp. ascendens","(Jord.) Govaerts","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1009806-1","Accepted",1,"accepted_or_direct"
"Clinopodium menthifolium (Host) Stace"," Watsonia 17: 443 (1989) subsp. menthifolium","","","","","","","Clinopodium menthifolium (Host) Stace","Clinopodium menthifolium (Host) Stace","Clinopodium menthifolium","Clinopodium menthifolium","(Host) Merino","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:946917-1","Accepted",0.90132,"accepted_or_direct"
"Clinopodium vulgare L."," Sp. Pl.: 587 (1753)","","","","","","","Clinopodium vulgare L.","Clinopodium vulgare L.","Clinopodium vulgare","Clinopodium vulgare","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:61206-2","Accepted",1,"accepted_or_direct"
"Cocculus laurifolius DC."," Syst. Nat. 1: 530 (1817)","","","","","","","Cocculus laurifolius DC.","Cocculus laurifolius DC.","Cocculus laurifolius","Pachygone laurifolia","(DC.) L.Lian & Wei Wang","Menispermaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:580575-1","Synonym",1,"synonym_to_accepted"
"Cochlearia aestuaria (J.Lloyd) Heywood"," Feddes Repert. 70: 6 (1964)","","","","","","","Cochlearia aestuaria (J.Lloyd) Heywood","Cochlearia aestuaria (J.Lloyd) Heywood","Cochlearia aestuaria","Cochlearia aestuaria","(J.Lloyd) Heywood","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281374-1","Accepted",1,"accepted_or_direct"
"Cochlearia danica L."," Sp. Pl.: 647 (1753)","","","","","","","Cochlearia danica L.","Cochlearia danica L.","Cochlearia danica","Cochlearia danica","L.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281414-1","Accepted",1,"accepted_or_direct"
"Cochlearia pyrenaica DC."," Syst. Nat. 2: 365 (1821)","","","","","","","Cochlearia pyrenaica DC.","Cochlearia pyrenaica DC.","Cochlearia pyrenaica","Cochlearia pyrenaica","DC.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281484-1","Accepted",1,"accepted_or_direct"
"Coincya monensis (L.) Greuter & Burdet subsp. cheiranthos (Vill.) Aedo"," Leadlay & Mu," in Castrov. & al."," Fl. Iber. 4: 411 (1993)","","","","","Coincya monensis (L.) Greuter & Burdet subsp. cheiranthos (Vill.) Aedo","Coincya monensis (L.) Greuter & Burdet subsp. cheiranthos (Vill.) Aedo","Coincya monensis subsp. cheiranthos","Coincya monensis subsp. cheiranthos","(Vill.) C.Aedo Pérez, Leadlay & Muñoz Garm.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:974444-1","Accepted",0.88644,"accepted_or_direct"
"Colchicum lusitanicum Brot."," Phytogr. Lusit. Select. 2: 211"," tab. 173"," tab. 164 (1827)","","","","","Colchicum lusitanicum Brot.","Colchicum lusitanicum Brot.","Colchicum lusitanicum","Colchicum montanum","L.","Colchicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:532292-1","Illegitimate",0.8294,"fuzzy_needs_review"
"Coleostephus myconis (L.) Rchb.f."," in Rchb."," Icon. Fl. Germ. Helv. 16: 49 (1853)","","","","","","Coleostephus myconis (L.) Rchb.f.","Coleostephus myconis (L.) Rchb.f.","Coleostephus myconis","Coleostephus myconis","(L.) Rchb.f.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:196897-1","Accepted",1,"accepted_or_direct"
"Comarum palustre L."," Sp. Pl.: 502 (1753)","","","","","","","Comarum palustre L.","Comarum palustre L.","Comarum palustre","Comarum palustre","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:63773-2","Accepted",1,"accepted_or_direct"
"Conium maculatum L."," Sp. Pl.: 243 (1753)","","","","","","","Conium maculatum L.","Conium maculatum L.","Conium maculatum","Conium maculatum","L.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:840668-1","Accepted",1,"accepted_or_direct"
"Conopodium majus (Gouan) Loret subsp. marizianum (Samp.) L," Anales Jard. Bot. Madrid 57(2): 473 (2000)","","","","","","","Conopodium majus (Gouan) Loret subsp. marizianum (Samp.) L�pez Udias & Mateo","Conopodium majus (Gouan) Loret subsp. marizianum (Samp.) L�pez Udias & Mateo","Conopodium majus subsp. marizianum","Conopodium majus subsp. marizianum","(Samp.) López Udias & Mateo","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1012775-1","Accepted",0.98358,"accepted_or_direct"
"Conopodium pyrenaeum (Loisel.) Mi," T.E.D," Fern.Prieto"," Loidi & Penas"," Veg. Alta Mont. Cant,"","","","Conopodium pyrenaeum (Loisel.) Mi�gev. subsp. pumilum (Boiss. ex Lange) Rivas Mart.","Conopodium pyrenaeum (Loisel.) Mi�gev. subsp. pumilum (Boiss. ex Lange) Rivas Mart.","Conopodium pyrenaeum subsp. pumilum","Conopodium pyrenaeum","(Loisel.) Miégev.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2735399-4","Synonym",1,"synonym_to_accepted"
"Conopodium pyrenaeum (Loisel.) Mi," Bull. Soc. Bot. France 21: 32"," sess. extr. (1874) subsp. pyrenaicum","","","","","","Conopodium pyrenaeum (Loisel.) Mi�gev.","Conopodium pyrenaeum (Loisel.) Mi�gev.","Conopodium pyrenaeum","Conopodium pyrenaeum","(Loisel.) Miégev.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:840731-1","Accepted",0.97466,"accepted_or_direct"
"Conopodium subcarneum (Boiss. & Reut.) Boiss. & Reut."," in Boiss."," Voy. Bot. Midi Esp. 2: 736 (1845)","","","","","","Conopodium subcarneum (Boiss. & Reut.) Boiss. & Reut.","Conopodium subcarneum (Boiss. & Reut.) Boiss. & Reut.","Conopodium subcarneum","Conopodium subcarneum","(Boiss. & Reut.) Boiss.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:840742-1","Accepted",0.97176,"accepted_or_direct"
"Consolida ajacis (L.) Schur"," Verh. Mitth. Siebenb,"","","","","","","Consolida ajacis (L.) Schur","Consolida ajacis (L.) Schur","Consolida ajacis","Delphinium ajacis","L.","Ranunculaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60441575-2","Synonym",1,"synonym_to_accepted"
"Convallaria majalis L."," Sp. Pl.: 314 (1753)","","","","","","","Convallaria majalis L.","Convallaria majalis L.","Convallaria majalis","Convallaria majalis","L.","Asparagaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:533487-1","Accepted",1,"accepted_or_direct"
"Convolvulus arvensis L."," Sp. Pl.: 153 (1753)","","","","","","","Convolvulus arvensis L.","Convolvulus arvensis L.","Convolvulus arvensis","Convolvulus arvensis","L.","Convolvulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:265849-1","Accepted",1,"accepted_or_direct"
"Cordyline australis (G.Forst.) Endl."," Prodr. Fl. Norfolk.: 29 (1833)","","","","","","","Cordyline australis (G.Forst.) Endl.","Cordyline australis (G.Forst.) Endl.","Cordyline australis","Cordyline australis","(G.Forst.) Endl.","Asparagaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:533544-1","Accepted",1,"accepted_or_direct"
"Coristospermum lucidum (Mill.) Reduron"," Charpin & Pimenov"," J. Bot. Soc. Bot. France 1: 98 (1997)","","","","","","Coristospermum lucidum (Mill.) Reduron","Coristospermum lucidum (Mill.) Reduron","Coristospermum lucidum","Ligusticum lucidum","Mill.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20002942-1","Synonym",0.9214,"synonym_to_accepted"
"Cornus alba L."," Mant. Pl. 1: 40 (1767)","","","","","","","Cornus alba L.","Cornus alba L.","Cornus alba","Cornus alba","L.","Cornaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330224-2","Accepted",1,"accepted_or_direct"
"Cornus kousa F.Buerger ex Miq."," Ann. Mus. Bot. Lugduno-Batavi 2: 159 (1765)","","","","","","","Cornus kousa F.Buerger ex Miq.","Cornus kousa F.Buerger ex Miq.","Cornus kousa","Cornus kousa","Bürger ex Hance","Cornaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30115668-2","Accepted",0.88256,"accepted_or_direct"
"Cornus sanguinea L."," Sp. Pl.: 117 (1753)","","","","","","","Cornus sanguinea L.","Cornus sanguinea L.","Cornus sanguinea","Cornus sanguinea","L.","Cornaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:271661-1","Accepted",1,"accepted_or_direct"
"Coronilla glauca L."," Cent. Pl. I: 23 (1755)","","","","","","","Coronilla glauca L.","Coronilla glauca L.","Coronilla glauca","Coronilla valentina subsp. glauca","(L.) Batt.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:487207-1","Synonym",1,"synonym_to_accepted"
"Coronilla minima L."," Cent. Pl. II: 28 (1756)","","","","","","","Coronilla minima L.","Coronilla minima L.","Coronilla minima","Coronilla minima","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:487228-1","Accepted",1,"accepted_or_direct"
"Coronilla scorpioides (L.) W.D.J.Koch"," Syn. Fl. Germ. Helv.: 188 (1835)","","","","","","","Coronilla scorpioides (L.) W.D.J.Koch","Coronilla scorpioides (L.) W.D.J.Koch","Coronilla scorpioides","Coronilla scorpioides","(L.) W.D.J.Koch","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:487261-1","Accepted",1,"accepted_or_direct"
"Coronopus didymus (L.) Sm."," Fl. Brit. 2: 691 (1800)","","","","","","","Coronopus didymus (L.) Sm.","Coronopus didymus (L.) Sm.","Coronopus didymus","Lepidium didymum","L.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1038308-2","Synonym",1,"synonym_to_accepted"
"Coronopus squamatus (Forssk.) Asch."," Fl. Brandenburg 1: 62 (1866)","","","","","","","Coronopus squamatus (Forssk.) Asch.","Coronopus squamatus (Forssk.) Asch.","Coronopus squamatus","Lepidium coronopus","(L.) Al-Shehbaz","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281594-1","Synonym",1,"synonym_to_accepted"
"Corrigiola litoralis L."," Sp. Pl.: 271 (1753)","","","","","","","Corrigiola litoralis L.","Corrigiola litoralis L.","Corrigiola litoralis","Corrigiola litoralis","L.","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326909-2","Accepted",1,"accepted_or_direct"
"Corrigiola telephiifolia Pourr."," Hist. & M," ser. 1"," 3: 316 (1788)","","","","","Corrigiola telephiifolia Pourr.","Corrigiola telephiifolia Pourr.","Corrigiola telephiifolia","Corrigiola telephiifolia","Pourr.","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:434737-1","Accepted",1,"accepted_or_direct"
"Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn."," Syn. Mitteleur. Fl. 2(1): 325 (1900)","","","","","","","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","Cortaderia selloana","Cortaderia selloana","(Schult. & Schult.f.) Asch. & Graebn.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:66317-2","Accepted",1,"accepted_or_direct"
"Corydalis cava (L.) Schweigg. & K," Spec. Fl. Erlang. 2: 41 (1811)","","","","","","","Corydalis cava (L.) Schweigg. & K�rte","Corydalis cava (L.) Schweigg. & K�rte","Corydalis cava","Corydalis cava","(L.) Schweigg. & Körte","Papaveraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:672129-1","Accepted",0.98358,"accepted_or_direct"
"Corylus avellana L."," Sp. Pl.: 998 (1753)","","","","","","","Corylus avellana L.","Corylus avellana L.","Corylus avellana","Corylus avellana","L.","Betulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295446-1","Accepted",1,"accepted_or_direct"
"Corylus colurna L."," Sp. Pl.: 999 (1753)","","","","","","","Corylus colurna L.","Corylus colurna L.","Corylus colurna","Corylus colurna","L.","Betulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295453-1","Accepted",1,"accepted_or_direct"
"Corylus maxima Mill."," Gard. Dict."," ed. 8: n.,"","","","","","Corylus maxima Mill.","Corylus maxima Mill.","Corylus maxima","Corylus maxima","Mill.","Betulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295467-1","Accepted",1,"accepted_or_direct"
"Cotinus coggygria Scop."," Fl. Carniol."," ed. 2"," 1: 220 (1771)","","","","","Cotinus coggygria Scop.","Cotinus coggygria Scop.","Cotinus coggygria","Cotinus coggygria","Scop.","Anacardiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:69498-1","Accepted",1,"accepted_or_direct"
"Cotoneaster franchetii Bois"," Rev. Hort. (Par," figs. 159","161"," 164 (1902)","","","","Cotoneaster franchetii Bois","Cotoneaster franchetii Bois","Cotoneaster franchetii","Cotoneaster franchetii","Bois","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:722494-1","Accepted",1,"accepted_or_direct"
"Cotoneaster horizontalis Decne."," Fl. Serres Jard. Eur."," ser. 2"," 22: 168 (1879)","","","","","Cotoneaster horizontalis Decne.","Cotoneaster horizontalis Decne.","Cotoneaster horizontalis","Cotoneaster horizontalis","Decne.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:722522-1","Accepted",1,"accepted_or_direct"
"Cotoneaster integerrimus Medik."," Gesch. Bot.: 85 (1793)","","","","","","","Cotoneaster integerrimus Medik.","Cotoneaster integerrimus Medik.","Cotoneaster integerrimus","Cotoneaster integerrimus","Medik.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:722536-1","Accepted",1,"accepted_or_direct"
"Cotoneaster ," Bull. Soc. Bot. France 40: CXXII (1894)","","","","","","","Cotoneaster �intermedius (Lecoq & Lamotte) H.J.Coste","Cotoneaster �intermedius (Lecoq & Lamotte) H.J.Coste","Cotoneaster","Cotoneaster","Medik.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30040667-2","Accepted",0.9,"accepted_or_direct"
"Cotoneaster lacteus W.W.Sm."," Notes Roy. Bot. Gard. Edinburgh 10: 23-24 (1917)","","","","","","","Cotoneaster lacteus W.W.Sm.","Cotoneaster lacteus W.W.Sm.","Cotoneaster lacteus","Cotoneaster coriaceus","Franch.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:722554-1","Synonym",1,"synonym_to_accepted"
"Cotula australis (Sieber ex Spreng.) Hook.f."," Bot. Antarct. Voy. 2(1): 128 (1852)","","","","","","","Cotula australis (Sieber ex Spreng.) Hook.f.","Cotula australis (Sieber ex Spreng.) Hook.f.","Cotula australis","Cotula australis","Hook.f.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:198427-1","Accepted",0.89316,"accepted_or_direct"
"Cotula coronopifolia L."," Sp. Pl.: 892 (1753)","","","","","","","Cotula coronopifolia L.","Cotula coronopifolia L.","Cotula coronopifolia","Cotula coronopifolia","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:198443-1","Accepted",1,"accepted_or_direct"
"Crassula tillaea Lest.-Garl."," Fl. Jersey: 87 (1903)","","","","","","","Crassula tillaea Lest.-Garl.","Crassula tillaea Lest.-Garl.","Crassula tillaea","Crassula tillaea","Lest.-Garl.","Crassulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:273549-1","Accepted",1,"accepted_or_direct"
"Crassula multicava Lem."," Ill. Hort. 9: misc. 40 (1862)","","","","","","","Crassula multicava Lem.","Crassula multicava Lem.","Crassula multicava","Crassula multicava","Lem.","Crassulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:273315-1","Accepted",1,"accepted_or_direct"
"Crataegus azarolus L. Sp. Pl.: 477 (1753)","","","","","","","","Crataegus azarolus L. . Pl.: 477 (1753)","Crataegus azarolus L. . Pl.: 477 (1753)","Crataegus azarolus","Crataegus azarolus","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324722-2","Accepted",0.9,"accepted_or_direct"
"Crataegus germanica (L.) Kuntze"," Revis. Gen. Pl. 1: 215 (1891)","","","","","","","Crataegus germanica (L.) Kuntze","Crataegus germanica (L.) Kuntze","Crataegus germanica","Crataegus germanica","(L.) Kuntze","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:723452-1","Accepted",1,"accepted_or_direct"
"Crataegus laevigata (Poir.) DC."," Prodr. 2: 630 (1825)","","","","","","","Crataegus laevigata (Poir.) DC.","Crataegus laevigata (Poir.) DC.","Crataegus laevigata","Crataegus laevigata","(Poir.) DC.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:723644-1","Accepted",1,"accepted_or_direct"
"Crataegus monogyna Jacq."," Fl. Austriac. 3: 50"," t. 292"," fig. 1 (1775)","","","","","Crataegus monogyna Jacq.","Crataegus monogyna Jacq.","Crataegus monogyna","Crataegus monogyna","Jacq.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:723820-1","Accepted",1,"accepted_or_direct"
"Crepis albida Vill. subsp. asturica (Lacaita & Pau) Babc."," Univ. Calif. Publ. Bot. 19: 399 (1941)","","","","","","","Crepis albida Vill. subsp. asturica (Lacaita & Pau) Babc.","Crepis albida Vill. subsp. asturica (Lacaita & Pau) Babc.","Crepis albida subsp. asturica","Crepis albida subsp. asturica","(Lacaita & Pau) Babc.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77181224-1","Accepted",1,"accepted_or_direct"
"Crepis capillaris (L.) Wallr."," Linnaea 14: 657 (1840)","","","","","","","Crepis capillaris (L.) Wallr.","Crepis capillaris (L.) Wallr.","Crepis capillaris","Crepis capillaris","(L.) Wallr.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:199753-1","Accepted",1,"accepted_or_direct"
"Crepis foetida L. Sp. Pl.: 807 (1753)","","","","","","","","Crepis foetida L. . Pl.: 807 (1753)","Crepis foetida L. . Pl.: 807 (1753)","Crepis foetida","Crepis foetida","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:199861-1","Accepted",0.9,"accepted_or_direct"
"Crepis lampsanoides (Gouan) Tausch"," Flora (Regensburg) 11"," Erg,"","","","","","Crepis lampsanoides (Gouan) Tausch","Crepis lampsanoides (Gouan) Tausch","Crepis lampsanoides","Crepis lampsanoides","(Gouan) Tausch","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77181012-1","Accepted",1,"accepted_or_direct"
"Crepis novoana S.Ortiz"," So," Bot. J. Linn. Soc. 123: 148 (1997)","","","","","","Crepis novoana S.Ortiz","Crepis novoana S.Ortiz","Crepis novoana","Crepis novoana","S.Ortiz, X.Soñora & Rodr.Oubiña","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:994377-1","Accepted",0.87166,"accepted_or_direct"
"Crepis paludosa (L.) Moench"," Methodus: 535 (1794)","","","","","","","Crepis paludosa (L.) Moench","Crepis paludosa (L.) Moench","Crepis paludosa","Crepis paludosa","(L.) Moench","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:200127-1","Accepted",1,"accepted_or_direct"
"Crepis pygmaea L."," Sp. Pl.: 805 (1753)","","","","","","","Crepis pygmaea L.","Crepis pygmaea L.","Crepis pygmaea","Crepis pygmaea","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:200184-1","Accepted",1,"accepted_or_direct"
"Crepis pyrenaica (L.) Greuter"," Exsicc. Genav. 1: 15 (1970)","","","","","","","Crepis pyrenaica (L.) Greuter","Crepis pyrenaica (L.) Greuter","Crepis pyrenaica","Crepis pyrenaica","(L.) Greuter","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:200185-1","Accepted",1,"accepted_or_direct"
"Crepis vesicaria L. subsp. taraxacifolia (Thuill.) Thell. ex Schinz"," in Schinz & R.Keller"," Fl. Schweiz"," ed. 3: 361 (1914)","","","","","Crepis vesicaria L. subsp. taraxacifolia (Thuill.) Thell. ex Schinz","Crepis vesicaria L. subsp. taraxacifolia (Thuill.) Thell. ex Schinz","Crepis vesicaria subsp. taraxacifolia","Crepis vesicaria subsp. taraxacifolia","(Thuill.) Thell.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110919-1","Accepted",0.9523,"accepted_or_direct"
"Crithmum maritimum L."," Sp. Pl.: 246 (1753)","","","","","","","Crithmum maritimum L.","Crithmum maritimum L.","Crithmum maritimum","Crithmum maritimum","L.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:840827-1","Accepted",1,"accepted_or_direct"
"Crocosmia ," Trans. Roy. Soc. South Africa 20(3): 264 (1932)","","","","","","","Crocosmia �crocosmiiflora (Lemoine) N.E.Br.","Crocosmia �crocosmiiflora (Lemoine) N.E.Br.","Crocosmia","Crocosmia","Planch.","Iridaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20292-1","Accepted",0.9,"accepted_or_direct"
"Crocus carpetanus Boiss. & Reut."," Diagn. Pl. Nov. Hisp.: 24 (1842)","","","","","","","Crocus carpetanus Boiss. & Reut.","Crocus carpetanus Boiss. & Reut.","Crocus carpetanus","Crocus carpetanus","Boiss. & Reut.","Iridaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:436499-1","Accepted",1,"accepted_or_direct"
